epoch	loss	probs	lr
1	2.1794927092511416	0.4954053605716246	0.001
2	1.563639481714667	0.66602840454605	0.001
3	1.4023542352103833	0.7277876936924059	0.001
4	1.439338990414453	0.7181092889557098	0.001
5	1.3591655088401637	0.7432390098567345	0.001
6	1.236072200049255	0.788389788795138	0.001
7	1.2449649575696116	0.7859431118548581	0.001
8	1.1767762896075125	0.8124160854125112	0.001
9	1.2169174014081743	0.8056294721963237	0.001
10	1.2283401639931264	0.7862401647860233	0.001
11	1.2350253564163656	0.7946028754835235	0.001
