epoch	loss	probs	lr
0	1.0136547829820701	0.8278897015541946	0.001
1	0.9418306020257387	0.855356796186205	0.001
2	0.9049216967996127	0.8721995428847937	0.001
3	0.8840852478625243	0.8803904004819653	0.001
4	0.8671311954142517	0.8879838064235727	0.001
5	0.8562452706648278	0.8927802820279809	0.001
6	0.8484098134792619	0.8959131654680084	0.001
7	0.8410519710862575	0.8991888560586334	0.001
8	0.835007012748279	0.9017556468405529	0.001
9	0.8297307740530202	0.904123099897192	0.001
10	0.8250846780531259	0.9065525723946751	0.001
11	0.8212820248539996	0.908289024545224	0.001
12	0.8178627232528388	0.9095770636489544	0.001
13	0.8147774758954828	0.9108095555879909	0.001
14	0.8117055615406992	0.9119899296698792	0.001
15	0.8086457994665198	0.9132417847011528	0.001
16	0.8065740300801715	0.9141813424057947	0.001
17	0.8040678569415416	0.9153445842335398	0.001
18	0.801993388065955	0.9162006603133819	0.001
19	0.8008679162961831	0.916462129755959	0.001
20	0.7990403919639982	0.91729910899291	0.001
21	0.7967391713183273	0.9183674646235276	0.001
22	0.7945290768997818	0.9193470843822791	0.001
23	0.7950591045031276	0.9189601222275143	0.001
24	0.7944954388746943	0.9192760354311355	0.001
25	0.7923961445220014	0.9200098882839469	0.001
26	0.7890174899488327	0.9214020074042952	0.001
27	0.7845586326654358	0.923264741048294	0.001
28	0.7806096612416742	0.9249217756437322	0.001
29	0.776202089078274	0.9268427764813517	0.001
0	1.0160176074566618	0.8286472898690812	0.001
1	0.9356746438871394	0.8614398568405388	0.001
2	0.8933342836269649	0.8813238768791699	0.001
3	0.8689107373742859	0.889435540711015	0.001
4	0.849411843848352	0.8968153345770169	0.001
5	0.8299547392675501	0.9055755251378387	0.001
6	0.8149039361055121	0.9111257672839302	0.001
7	0.7981968989952858	0.9181932528633527	0.001
8	0.7846459222375214	0.9241242617900576	0.001
9	0.7727365206560323	0.9294901051823957	0.001
10	0.7611426396354212	0.9343614102224107	0.001
11	0.7523153722286224	0.9381474904934771	0.001
12	0.7435361363347093	0.9419878406584524	0.001
13	0.7362561717375748	0.9451606516415415	0.001
14	0.7313162631733224	0.9474235385090164	0.001
15	0.7249087356030941	0.9502199025042934	0.001
16	0.7193369882857426	0.9526181796344814	0.001
17	0.7140283131297457	0.9548401451172607	0.001
18	0.7095890244769244	0.9567841519313383	0.001
19	0.7055347926412839	0.9585202589090625	0.001
20	0.7018279836350184	0.9601022341267256	0.001
21	0.6983903928629587	0.9616147605978651	0.001
22	0.6956066133122532	0.9628086028724244	0.001
23	0.6937916392721043	0.9636356172912685	0.001
24	0.6912605881196847	0.9646642309272845	0.001
25	0.6884190290156661	0.9658389198632771	0.001
26	0.6870658251608294	0.966517448139337	0.001
27	0.6869271656237735	0.9665364607738443	0.001
28	0.6850894367309347	0.9673282691298031	0.001
29	0.6832039618739192	0.9681408695194593	0.001
0	1.0152305948301918	0.8305973128024778	0.001
1	0.9344000570823492	0.8637256968206692	0.001
2	0.894252645022305	0.8787342250758914	0.001
3	0.8699973105148948	0.8890367186208463	0.001
4	0.8551557986229813	0.8948165180151945	0.001
5	0.8438726228135855	0.9003987261874277	0.001
6	0.8312253570839002	0.9055388913297547	0.001
7	0.8228244603529495	0.9090667894891815	0.001
8	0.8147285323961068	0.9125946474507682	0.001
9	0.8101294021841158	0.9144462600582004	0.001
10	0.8048607132595438	0.9163167020564814	0.001
11	0.7998006069495476	0.9182665439544564	0.001
12	0.7952475468919494	0.9202658417762728	0.001
13	0.7911715395665893	0.9216202999555474	0.001
14	0.787730399396959	0.9230840425520157	0.001
15	0.7839566531151997	0.9245090391100843	0.001
16	0.7811917340163231	0.9257036698405897	0.001
17	0.7779291572417071	0.9271315003460553	0.001
18	0.7751327996231862	0.9284516054845356	0.001
19	0.7730227503134179	0.9294434288005137	0.001
20	0.7704424881770409	0.930517508223002	0.001
21	0.7688568522640404	0.9312712305694383	0.001
22	0.7665662857749812	0.9321310789661919	0.001
23	0.7643588903731633	0.9330211077174992	0.001
24	0.7620009149294443	0.933983297267726	0.001
25	0.760158596641279	0.9347703860617578	0.001
26	0.7588788812207617	0.9353331464411224	0.001
27	0.7580612203441313	0.9358813151231878	0.001
28	0.7566295620776169	0.9366112428199654	0.001
29	0.7553990866647895	0.9371093964226711	0.001
0	1.0832142147375512	0.795739288157132	0.001
1	0.9939971396342461	0.8355894752734684	0.001
2	0.946134859107319	0.8542199939334948	0.001
3	0.9180568930707447	0.865930020384529	0.001
4	0.8884867149313497	0.878157451548107	0.001
5	0.8643885972380432	0.8890678652776132	0.001
6	0.8428799321173209	0.8982075818329719	0.001
7	0.8302697159851771	0.9036874320415944	0.001
8	0.8172402976570832	0.9095289756082294	0.001
9	0.8069527021343844	0.9143133259035763	0.001
10	0.7974383263895661	0.9183630614111123	0.001
11	0.7911934243170915	0.9215305441144422	0.001
12	0.784529193410269	0.9245649023733561	0.001
13	0.7779601149917267	0.9273072964367736	0.001
14	0.770936661721923	0.9303743642743594	0.001
15	0.7652467370921158	0.9329295984030234	0.001
16	0.7616276096658203	0.9344568969145376	0.001
17	0.7576255483673987	0.936201453243238	0.001
18	0.7532386445027136	0.938214753803454	0.001
19	0.7492168451297468	0.939857543240557	0.001
20	0.7455507271486301	0.9414551238233649	0.001
21	0.7432480111711159	0.9425261383678798	0.001
22	0.740522228542226	0.9436484388293755	0.001
23	0.737419872260001	0.9450303699004114	0.001
24	0.7346024170996611	0.9461905129153494	0.001
25	0.7323275061243318	0.9471667590382186	0.001
26	0.7301625435250754	0.9481117521714533	0.001
