round	epoch	loss	probs	lr
0	0	1.0117003652098264	0.8303452157294812	0.001
0	1	0.925987911193482	0.8625490046998997	0.001
3	0	0.7780463395958738	0.9252124299039495	0.001
3	1	0.776855267700136	0.9266260744994168	0.001
4	0	0.7606997875969644	0.9311222835525947	0.001
4	1	0.7517623032004105	0.9378417265538724	0.001
17	0	0.6728116591977332	0.9715191548970079	0.001
17	1	0.6755356472082089	0.9732573172897873	0.001
23	0	0.6640683489759969	0.9765153572040518	0.001
23	1	0.6628578237301327	0.9759145072550354	0.001
26	0	0.6568063009588212	0.9786781210046975	0.001
26	1	0.6641506282467916	0.9760861775109188	0.001
35	0	0.6464947977831944	0.9839183160060428	0.0001
35	1	0.645468317165276	0.9840462759059946	0.0001
38	0	0.6444864044535346	0.9847912247934489	0.0001
38	1	0.6433605970187508	0.9856635888777866	0.0001
