round	epoch	loss	probs	lr
4	0	0.8212105668888191	0.9101596717080922	0.001
4	1	0.8091282747261265	0.9153424834185931	0.001
10	0	0.7381129286449808	0.943730509497341	0.001
10	1	0.7430634347268337	0.939338011367951	0.001
16	0	0.6824361518257023	0.9670378871532301	0.001
16	1	0.6833810744507943	0.967533387436768	0.001
17	0	0.6683926764547516	0.9765888061856977	0.001
17	1	0.6681487296220552	0.9747666274173272	0.001
30	0	0.6865159949490444	0.971637406806254	0.0001
30	1	0.6732160313141778	0.9736764962191409	0.0001
