round	epoch	loss	probs	lr
0	0	0.7850089898177733	0.9307734929646055	0.001
0	1	0.7505432931240648	0.9442618145452192	0.001
0	2	0.731874371599406	0.9517582502733503	0.001
0	3	0.7231477258416513	0.9553658097827186	0.001
0	0	2.2194279432296753	0.41658226773142815	0.001
0	1	1.7053519953042269	0.5736327543854713	0.001
0	2	1.4346382531027	0.6710864181319872	0.001
0	3	1.3568788776174188	0.6995038399472833	0.001
0	0	0.7491721335154379	0.9398718352411307	0.001
0	1	0.6939979530379522	0.9635471725049504	0.001
0	2	0.6712724806365695	0.9733642305742752	0.001
0	3	0.6598036144506485	0.9783627803498836	0.001
0	0	1.2426922149453425	0.7570382771682154	0.001
0	1	1.1747592667494815	0.7845569834387376	0.001
0	2	1.1367569538957014	0.797510245034056	0.001
0	3	1.1148076115027528	0.8056340487273924	0.001
1	0	0.7476188479612271	0.9449844404123724	0.001
1	1	0.7297612503403798	0.952755796808439	0.001
1	2	0.7171357423843195	0.9576679043989215	0.001
1	3	0.7109787874350635	0.9603312149294652	0.001
1	0	2.3968420028686523	0.2280356865376234	0.001
1	1	2.1885292753577232	0.3211794290691614	0.001
1	2	2.0323259234428406	0.41227655733625096	0.001
1	3	1.9569165594875813	0.46594634279608727	0.001
1	0	0.6560997312506678	0.9806385688390749	0.001
1	1	0.6418872768547446	0.9862228945774191	0.001
1	2	0.6368483885228456	0.9883459727252727	0.001
1	3	0.6333798052102274	0.9897546030886458	0.001
1	0	1.2875869065705985	0.7487590237994867	0.001
1	1	1.1714739943940216	0.7900127667956557	0.001
1	2	1.1272749080492188	0.8078205009545285	0.001
1	3	1.0900519180334418	0.8187743209622389	0.001
2	0	1.2853376360758682	0.756209636392769	0.001
2	1	1.1587604220293781	0.7983803471173245	0.001
2	2	1.1038328857753419	0.8181961833333676	0.001
2	3	1.0596474667816806	0.8330738547206656	0.001
2	0	0.64028396655319	0.9868307147646546	0.001
2	1	0.6334943548349561	0.9896558762659151	0.001
2	2	0.630814127941891	0.9907960542595535	0.001
2	3	0.6290870382505305	0.9915502778322514	0.001
2	0	0.7222253933704148	0.9557895436417312	0.001
2	1	0.707783947334004	0.9610981197872509	0.001
2	2	0.7051611186315616	0.9626064039922009	0.001
2	3	0.7005439069160881	0.9642643545987084	0.001
2	0	2.1287909150123596	0.30792410857975483	0.001
2	1	1.999175488948822	0.3843904370442033	0.001
2	2	1.8834716478983562	0.4704624358564615	0.001
2	3	1.8734337016940117	0.5035352483391762	0.001
3	0	2.1562089920043945	0.3001969810575247	0.001
3	1	1.9294521436095238	0.4344467269256711	0.001
3	2	1.785235419869423	0.5080037818600734	0.001
3	3	1.674253361299634	0.5574067872948945	0.001
3	0	0.7060275988187641	0.9616076212221135	0.001
3	1	0.700662083652181	0.9642956875419865	0.001
3	2	0.6954686592229539	0.9663952288683504	0.001
3	3	0.6921929424783836	0.9675941419050408	0.001
3	0	1.1918078613427519	0.7748420387506485	0.001
3	1	1.1392461147410737	0.8023623385769458	0.001
3	2	1.1043514064484579	0.811828827900633	0.001
3	3	1.076361038659248	0.8242364217944306	0.001
3	0	0.6349884408680513	0.9892542118482198	0.001
3	1	0.6285675009835425	0.9917279097857534	0.001
3	2	0.6263013630839805	0.9926620243456983	0.001
3	3	0.6256990729221898	0.9929576846261288	0.001
4	0	0.62665111208982	0.9924671231956618	0.001
