round	epoch	loss	probs	lr
0	0	0.6651950006605323	0.991529523412303	0.001
0	1	0.6550372280950844	0.99451507335216	0.001
0	2	0.6515745226154958	0.9955695397975164	0.001
0	3	0.6494075017375692	0.9962197935389524	0.001
0	0	0.6764862271754638	0.9873946556528675	0.001
0	1	0.6608800547178773	0.9923479961337254	0.001
0	2	0.6551546459579415	0.9941770681154103	0.001
0	3	0.6519690983769886	0.9950703491322871	0.001
0	0	0.6499116299218776	0.9963589156662171	0.001
0	1	0.6465075825445288	0.9974162603307102	0.001
0	2	0.6447033429546727	0.9979996411836195	0.001
0	3	0.6434966644885912	0.9984251902875731	0.001
0	0	0.6499803869182467	0.9969246655865607	0.001
0	1	0.6464585197687188	0.9980833507233269	0.001
0	2	0.6453482825734074	0.9984205899627059	0.001
0	3	0.6445366140129593	0.9987025645927531	0.001
1	0	0.6474869934208052	0.9970960093305021	0.001
1	1	0.6454537697332264	0.9975960400181405	0.001
1	2	0.6451138934321403	0.9975792992155412	0.001
1	3	0.644387918399419	0.9978167867079727	0.001
1	0	0.6429887950221033	0.9979264014540707	0.001
1	1	0.6424547806132996	0.9980287092635065	0.001
1	2	0.6421196648940327	0.9980934380222457	0.001
1	3	0.6423582152578743	0.9979405134891387	0.001
1	0	0.6407192704305483	0.9993400995786479	0.001
1	1	0.6402983641662037	0.999521661637898	0.001
1	2	0.6401764197762155	0.9995720999047518	0.001
1	3	0.6401762000773996	0.9995738115324138	0.001
1	0	0.642954772885672	0.9992004892688949	0.001
1	1	0.6424272407223569	0.9994230312695852	0.001
1	2	0.6422595300525057	0.9994928624654477	0.001
1	3	0.6421697327529694	0.9995316419421332	0.001
2	0	0.6446203201058619	0.9975994955101976	0.001
2	1	0.6439467515813397	0.9978033763523316	0.001
2	2	0.6444055169859088	0.9976962325115852	0.001
2	3	0.6443848449631068	0.9976939835382936	0.001
2	0	0.6449156739939017	0.9969773595548393	0.001
2	1	0.6457914792524533	0.99664871950313	0.001
2	2	0.6436964752383056	0.997411957286805	0.001
2	3	0.6429033334363863	0.9976635884406375	0.001
2	0	0.6406292566736936	0.9993644155957356	0.001
2	1	0.6404123580884883	0.999465848285464	0.001
2	2	0.6404305595632483	0.9994627573764101	0.001
2	3	0.6405141721281389	0.9994292052025177	0.001
2	0	0.6424583815311132	0.9994019077287747	0.001
2	1	0.6428716126245861	0.9992354566010001	0.001
2	2	0.6425526489031974	0.999371892718019	0.001
2	3	0.6423888368855932	0.9994415101395621	0.001
