round	epoch	loss	probs	lr
10	0	0.7945676600377176	0.9248349746891872	0.001
10	1	0.7757197834667147	0.9319338691203706	0.001
21	0	0.7261037863597969	0.9507956461585247	0.001
21	1	0.7200482523194249	0.9525164264625836	0.001
25	0	0.7315362874090363	0.9565366892616983	0.001
25	1	0.719601809051988	0.9571202675295617	0.001
27	0	0.708417396162458	0.9571244262660723	0.001
27	1	0.698306017589075	0.9609674822944434	0.001
28	0	0.6997145982603953	0.9611489326533876	0.001
28	1	0.6951575084671455	0.962917837994704	0.001
36	0	0.6792587418630334	0.9682578852139606	0.0001
36	1	0.6768851613751348	0.9692472945995282	0.0001
39	0	0.6786455851762406	0.9678863612790182	0.0001
39	1	0.6752111715665136	0.96916838191025	0.0001
