round	epoch	loss	probs	lr
0	0	1.0569817006896816	0.8153644185609769	0.001
0	1	0.9755009554828387	0.8448609108288672	0.001
3	0	0.8418522711862554	0.8929363217378528	0.001
3	1	0.838096671771509	0.8971858595937027	0.001
8	0	0.8272801600589653	0.9049885439749209	0.001
8	1	0.8072971238373475	0.9138134777391512	0.001
16	0	0.7006794591024132	0.9617816507816315	0.001
16	1	0.6922210334496177	0.9656797106247492	0.001
20	0	0.6780668077073566	0.967495492085274	0.001
20	1	0.6771657978005977	0.9701470304184009	0.001
36	0	0.6549080631893534	0.978594027961474	0.0001
36	1	0.6511673164491208	0.9799607800696181	0.0001
