round	epoch	loss	probs	lr
0	0	1.071743765952056	0.8035809541304495	0.001
0	1	0.9881784085165034	0.8354335811008443	0.001
2	0	0.8845600430211873	0.8866877966594202	0.001
2	1	0.8648500569126149	0.8928209736248373	0.001
5	0	0.8328377795960619	0.9002808106995617	0.001
5	1	0.8423851109230457	0.8970535835299467	0.001
13	0	0.6957073733596604	0.9596456933206845	0.001
13	1	0.7122871979221779	0.9555721754700409	0.001
24	0	0.727968214398221	0.9571969357796901	0.001
24	1	0.7134078467756974	0.9589340555544345	0.001
