round	epoch	loss	probs	lr
8	0	0.7586335332900132	0.9368032510416495	0.001
8	1	0.7564888916176218	0.9347330420591671	0.001
11	0	0.7385137871757073	0.9478129270472058	0.001
11	1	0.7254970989387888	0.9526031321503338	0.001
12	0	0.7089069973619491	0.962345060289215	0.001
12	1	0.7076765028615072	0.962303727710803	0.001
14	0	0.7212006412639519	0.9523268426947026	0.001
14	1	0.7132564885010991	0.9584480242253585	0.001
16	0	0.6810302867172914	0.9713662228127218	0.001
16	1	0.6753016460127164	0.9724751659162304	0.001
17	0	0.6900981164349176	0.9673075129331085	0.001
17	1	0.6854565670144372	0.9689092592871869	0.001
