round	epoch	loss	probs	lr
19	0	0.7001957547479343	0.963888251565281	0.001
19	1	0.7081740429055505	0.958939013394667	0.001
32	0	0.6869771298349212	0.9661332012149336	0.0001
32	1	0.6818297329344281	0.9677433383125098	0.0001
33	0	0.6749175292840276	0.9726667662049823	0.0001
33	1	0.6725133923051271	0.9721266736947193	0.0001
37	0	0.6746893219379564	0.9720400301594808	0.0001
37	1	0.6737877342058587	0.9717673774364699	0.0001
38	0	0.6761632215791415	0.9719345551080655	0.0001
38	1	0.6711715251361768	0.9721425423504775	0.0001
