round	epoch	loss	probs	lr
1	0	0.9232430479687113	0.8651064002760951	0.001
1	1	0.896498731226501	0.8742104919308825	0.001
7	0	0.8375092034512851	0.9016794540721518	0.001
7	1	0.8218183187005433	0.9090748850854568	0.001
10	0	0.801871101782112	0.9214360585793312	0.001
10	1	0.7785976149257601	0.9269502284922131	0.001
11	0	0.752919811041244	0.9327243514011561	0.001
11	1	0.7284498437080976	0.9458337450120116	0.001
12	0	0.7351560070724685	0.9510870500240919	0.001
12	1	0.7266283183517851	0.952069164403362	0.001
21	0	0.7052978867076222	0.9608349974600144	0.001
21	1	0.6982774282057669	0.9622882784493847	0.001
22	0	0.7067730544144626	0.9582582154731059	0.001
22	1	0.6929631892572413	0.9646878078039446	0.001
24	0	0.6984683698323106	0.9652552474965703	0.001
24	1	0.6933234320094548	0.9640802332619929	0.001
25	0	0.6879076231946599	0.9662030200266467	0.001
25	1	0.6860707842315417	0.966710533502806	0.001
29	0	0.6849214789780929	0.9666380318644133	0.001
29	1	0.6854837206361207	0.9689366364262882	0.001
36	0	0.6643951365367119	0.9749375143199387	0.0001
36	1	0.6617062596768295	0.9760783138670452	0.0001
39	0	0.6602713944380765	0.9755080119933489	0.0001
39	1	0.6594629641332774	0.9764593216576107	0.0001
