round	epoch	loss	probs	lr
9	0	0.7689775200705454	0.9340166546829006	0.001
9	1	0.772423696332645	0.931649373062534	0.001
13	0	0.6799511711832156	0.9671118650102862	0.001
13	1	0.6895839536437098	0.9647269902914917	0.001
29	0	0.6680801093887171	0.974038058457597	0.001
29	1	0.6841549119801101	0.9669963728269765	0.001
33	0	0.6549054127900712	0.9795679928725247	0.0001
33	1	0.654712403839734	0.9797887837639745	0.0001
35	0	0.656700561701325	0.9779566033825355	0.0001
35	1	0.6529242797836738	0.9792916193372845	0.0001
