round	epoch	loss	probs	lr
8	0	0.7665779698698014	0.9291370402963668	0.001
8	1	0.7498601591648834	0.9357377347859694	0.001
15	0	0.6867915456776792	0.9665710989366542	0.001
15	1	0.6788032725067337	0.9689505435333351	0.001
20	0	0.6761049066182863	0.9707371541564329	0.001
20	1	0.67773134350159	0.9710766385101901	0.001
24	0	0.6704996663671701	0.972052057790015	0.001
24	1	0.6650531471084437	0.9742665960998733	0.001
29	0	0.670597833364121	0.9765336284983344	0.001
29	1	0.6636364645290869	0.9776898849504599	0.001
32	0	0.6639719457206331	0.9769261406802143	0.0001
32	1	0.6583411670410572	0.9784534705580825	0.0001
