round	epoch	loss	probs	lr
0	0	1.0256685931139042	0.8255466376407159	0.001
0	1	0.960211058895205	0.8486155566851092	0.001
1	0	0.8880284017849462	0.8763194661683987	0.001
1	1	0.8466647736766796	0.8949689235866378	0.001
14	0	0.7552760490481718	0.9363100153485728	0.001
14	1	0.7299954118351862	0.9487850744026313	0.001
18	0	0.7096877499565559	0.9575463378985312	0.001
18	1	0.7167000139006678	0.9540207539660943	0.001
28	0	0.7152057478464947	0.9556651651241619	0.001
28	1	0.7023259685447178	0.960087432994126	0.001
36	0	0.6667324906803783	0.9794181559061139	0.0001
36	1	0.656036162005805	0.9814628334088646	0.0001
